Job_Number,Category,# Total,# Complete,# In Process,# Not Started,% Complete,% Complete (Text),CategorySortOrder
10889-0003-03,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-09,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-112,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-120,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-128,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-138,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-14,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-143,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-20,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-22,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-30,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-50,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-58,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-62,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-73,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-79,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-81,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-85,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-86,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-92,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-93,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-95,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-02,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-12,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-14,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-20,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-32,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-34,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-35,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-37,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-43,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-49,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-53,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-54,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-55,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-60,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-61,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-62,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-63,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-72,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-79,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-80,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-81,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-103,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-111,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-114,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-116,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-117,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-119,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-121,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-122,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-123,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-130,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-134,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-137,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-146,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-147,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-16,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-21,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-32,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-33,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-54,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-67,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-74,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-75,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-76,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-84,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-94,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-97,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-98,Outside Service Routing,0,0,0,0,0.0,0%,3
10889-0003-99,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-10,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-15,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-16,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-17,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-18,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-21,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-22,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-30,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-31,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-33,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-36,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-39,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-40,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-45,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-46,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-47,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-50,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-58,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-59,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-65,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-66,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-82,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-83,Outside Service Routing,0,0,0,0,0.0,0%,3
10893-0004-84,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-02,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-07,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-08,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-09,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-102,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-103,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-104,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-105,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-113,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-115,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-116,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-03,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-04,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-05,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-06,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-100,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-101,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-106,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-108,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-109,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-11,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-111,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-112,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-114,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-117,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-119,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-121,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-124,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-126,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-127,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-129,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-13,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-131,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-132,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-133,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-134,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-138,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-139,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-141,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-147,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-148,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-149,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-150,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-153,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-158,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-16,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-160,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-164,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-165,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-166,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-170,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-171,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-172,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-177,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-178,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-179,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-18,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-185,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-186,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-187,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-19,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-190,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-192,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-204,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-205,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-207,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-21,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-22,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-24,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-27,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-29,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-30,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-34,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-35,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-36,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-37,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-40,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-41,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-46,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-47,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-48,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-51,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-52,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-53,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-54,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-56,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-118,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-12,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-120,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-122,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-123,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-125,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-128,Outside Service Routing,0,0,0,0,0.0,0%,3
